account_name,sector,supplier,value_estimate,total_spend,idox_penetration
OnPath Energy Limited,Energy,IDOX,,48128.4,12
"OpenFibre (Hull, East Yorkshire, England)",Fibre,UNKNOWN,,,0
Openreach - OS Migration,Fibre,OTHER,5076111.0,,0
"OptaNet (Brighton, East Sussex, England)",Fibre,UNKNOWN,,,0
"Optify (Stafford, Staffordshire, England)",Fibre,UNKNOWN,,,0
Opus Energy ,Energy,UNKNOWN,,,0
"Origin Broadband (South Yorkshire, England)",Fibre,UNKNOWN,,,0
Ørsted,Renewables,UNKNOWN,,,0
Orsted Onshore UK Limited,Renewables,IDOX,,69078.82,17
Outfox the market,Energy,UNKNOWN,,,0
Ovo Energy ,Energy,UNKNOWN,,,0
Palm Paper,Infrastructure,UNKNOWN,,,0
"PC-Q (Wales, Powys)",Fibre,UNKNOWN,,,0
PD Teesport Limited,Infrastructure,IDOX,,10365.45,5
Perenco,Fibre,UNKNOWN,,,0
Petroineos,Energy,UNKNOWN,,,0
PFA Consulting,Infrastructure,IDOX,,5741.26,3
"Pine Media (Sheffield, South Yorkshire, England)",Fibre,UNKNOWN,,,0
"Plusnet (Sheffield, South Yorkshire, England)",Fibre,UNKNOWN,,,0
"Pop Telecom (Essex, England)",Fibre,UNKNOWN,,,0
Portsmouth Water,Water,ESRI,35000.0,,0
pozitive Energy ,Energy,UNKNOWN,,,0
Premier Transmission,Energy,UNKNOWN,,,0
Pulse Clean Energy Development Ltd,Energy,IDOX,,5382.0,3
"Pulse Fibre (London, England)",Fibre,UNKNOWN,,,0
"Pulse8 (Devon, England)",Fibre,UNKNOWN,,,0
"Purefibre (London, England)",Fibre,UNKNOWN,,,0
"Quantum Fibre Broadband (Market Rasen, Lincoln, England)",Fibre,UNKNOWN,,,0
"Quickline (East Riding of Yorkshire, England)",Fibre,LANDMARK,215000.0,,0
"Rade Systems (Saxmundham, Suffolk, England)",Fibre,UNKNOWN,,,0
"RadioFibre (Okehampton, Devon, England)",Fibre,UNKNOWN,,,0
Rampion Extension Development Ltd,Renewables,IDOX,,7713.03,4
"Rapid Rural (Leighton Buzzard, Central Bedfordshire, England)",Fibre,UNKNOWN,,,0
Rappor Consultants Ltd,Infrastructure,IDOX,,6587.14,3
Rebel Energy ,Energy,UNKNOWN,,,0
"Rebel Internet (London, England)",Fibre,UNKNOWN,,,0
"RedRaw Internet (London, England)",Fibre,UNKNOWN,,,0
"Reeth Rural Radio Net (Yorkshire, England)",Fibre,UNKNOWN,,,0
"RELIALINK (Bedfordshire, England)",Fibre,UNKNOWN,,,0
RES Ltd,Renewables,IDOX,,121731.15,20
Ricoh UK Limited,Fibre,IDOX,,1120917.39,136
Road Traffic Solutions Limited,Infrastructure,IDOX,,17680.0,8
Royal Mail Group - OS Migration,Infrastructure,OTHER,674407.0,,0
"RunFibre (Bristol, England)",Fibre,UNKNOWN,,,0
RWE,Renewables,UNKNOWN,,,0
RWE Generation UK PLC,Renewables,IDOX,,11562.52,2
RWE Renewables Management UK Limited,Renewables,IDOX,,23429.52,4
RWE Renewables UK Solar and Storage Limited,Renewables,IDOX,,62719.75,10
"Rymote (Durham, England)",Fibre,UNKNOWN,,,0
SABIC,Energy,UNKNOWN,,,0
Sainsbury's Energy ,Energy,UNKNOWN,,,0
"SAQ (Hampshire, England)",Fibre,UNKNOWN,,,0
SAS Associates,Infrastructure,UNKNOWN,,,0
"Save9 (North Yorkshire, England)",Fibre,UNKNOWN,,,0
"Scot-Tel Gould (Cornwall, England)",Fibre,UNKNOWN,,,0
Scottish & Southern Electricity Networks (SSEN),Energy,LANDMARK,930000.0,,0
SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,Energy,IDOX,,5533.51,1
Scottish Power Renewables (UK) Ltd,Renewables,IDOX,,79531.55,13
Scottish Power UK Ltd (SPEN) - OS Migration,Energy,OTHER,774242.0,,0
Seabank,Renewables,UNKNOWN,,,0
"Seethelight (Suffolk, England)",Fibre,UNKNOWN,,,0
SES Water,Water,ESRI,45000.0,,0
Severn Trent Water,Water,UNKNOWN,,,0
SGN,Energy,UNKNOWN,,,0
SGN Scotia Gas Networks - OS Migration,Energy,IDOX,839001.0,,0
Shell Energy,Energy,UNKNOWN,,,0
Singleton Clamp & Partners Limited,Infrastructure,IDOX,,20799.95,10
Sizewell C Limited,Energy,IDOX,,12884.0,3
Sky UK Limited - OS Migration,Fibre,OTHER,302793.0,,0
"Smartfibre (London, England)",Fibre,UNKNOWN,,,0
"Smarty (Maidenhead, Berkshire, England)",Fibre,UNKNOWN,,,0
So Energy,Energy,UNKNOWN,,,0
South East Water - OS Migration,Water,IDOX,173409.35,,0
South Staffordshire Water,Water,ESRI,283000.0,,0
South West Water Limited - OS Migration,Water,OTHER,297925.0,,0
Southern Water Services Ltd,Water,IDOX,,409127.86,57
SP Energy,Energy,UNKNOWN,,,0
Spectrum Fibre Limited T/A Ogi,Fibre,IDOX,,39874.67,5
"Speednet Scotland (Ayrshire, Scotland)",Fibre,UNKNOWN,,,0
"Spitfire (London, England)",Fibre,UNKNOWN,,,0
Spring Fibre,Fibre,UNKNOWN,,,0
Squire Energy,Energy,UNKNOWN,,,0
"Squirrel Internet (Rutland, England)",Fibre,UNKNOWN,,,0
SSE Generation Ltd,Renewables,IDOX,,15101.2,2
SSE Renewables Services (UK) Limited,Renewables,IDOX,,63778.69,10
SSE Renewables Services (UK) Limited,Renewables,IDOX,,165958.14,27
SSE Thermal,Renewables,IDOX,,,0
SSE Utility Solutions,Renewables,UNKNOWN,,,0
Star Energy Group,Energy,UNKNOWN,,,0
Starlink (USA),Fibre,UNKNOWN,,,0
Statkraft UK Ltd,Renewables,IDOX,,20043.35,10
"Stix Internet (Northern Fibre) ( Huddersfield, Yorkshire, England)",Fibre,UNKNOWN,,,0
Storengy,Energy,UNKNOWN,,,0
"Stream Networks (Newbury, Berkshire, England)",Fibre,UNKNOWN,,,0
Structured Communications,Fibre,UNKNOWN,,,0
"Superhero Broadband (Needham Market, Suffolk, England)",Fibre,UNKNOWN,,,0
Sutton and East Surrey Water - OS Migration,Water,OTHER,33792.0,,0
